,year,region,dec,pollutant,int,factor,se,r2,warn
242,2013,FRCC,12865,nox,22.75776196,0.215734454,0.006487184,0.558569675,0
243,2013,FRCC,12865,co2,23730.11603,545.3501036,3.659475447,0.962135305,0
244,2013,FRCC,14721,so2,48.86622964,0.386877938,0.010853246,0.59247578,0
245,2013,FRCC,14721,nox,8.217312034,0.228315933,0.006326755,0.598400566,0
246,2013,FRCC,14721,co2,10078.21705,516.4146889,2.99665138,0.971411591,0
247,2013,FRCC,16260,so2,-4.168404675,0.406205359,0.010382499,0.636543726,0
248,2013,FRCC,16260,nox,-26.76397033,0.221436644,0.005545475,0.645937211,0
249,2013,FRCC,16260,co2,-685.8405349,508.2553536,2.843921199,0.973364663,0
250,2013,FRCC,17490,so2,-32.24602853,0.404166981,0.01096968,0.608331851,0
251,2013,FRCC,17490,nox,-38.29687292,0.222683438,0.0059421,0.61640023,0
252,2013,FRCC,17490,co2,-18880.20316,511.8319254,3.209016835,0.966785272,0
253,2013,FRCC,18745,so2,-44.35703354,0.442538456,0.011555892,0.626582517,0
254,2013,FRCC,18745,nox,-34.87683158,0.236378742,0.006477372,0.603760942,0
255,2013,FRCC,18745,co2,-6358.215122,509.5384127,3.038903735,0.969849413,0
256,2013,FRCC,20130,so2,-54.56993603,0.487586693,0.012981647,0.617460376,0
257,2013,FRCC,20130,nox,-25.63826895,0.262084817,0.006087516,0.679565468,0
258,2013,FRCC,20130,co2,3871.365626,506.0513793,3.094916988,0.968344434,0
259,2013,FRCC,21878,so2,-3.992621969,0.500779378,0.013727533,0.603589447,0
260,2013,FRCC,21878,nox,-0.186292007,0.281495252,0.006836743,0.659827987,0
261,2013,FRCC,21878,co2,9563.327616,494.2607254,2.777912193,0.973133645,0
262,2013,FRCC,24124,so2,-60.03332231,0.515493604,0.014659489,0.585888369,0
263,2013,FRCC,24124,nox,-12.82419462,0.314182294,0.007186657,0.686200192,0
264,2013,FRCC,24124,co2,5574.657491,476.7600711,2.36358138,0.97897081,0
265,2013,FRCC,27146,so2,21.10395615,0.540674319,0.017569109,0.520056586,0
266,2013,FRCC,27146,nox,12.09763913,0.352576314,0.008307624,0.673290713,0
267,2013,FRCC,27146,co2,-813.8724856,473.4813669,2.622113851,0.973895165,0
268,2013,FRCC,34856,so2,-32.57289156,0.522766513,0.018816489,0.468970524,0
269,2013,FRCC,34856,nox,-7.408989286,0.4700965,0.012102806,0.633188692,0
270,2013,FRCC,34856,co2,5773.807038,474.2772787,3.064205206,0.964801789,0
271,2013,MRO,13434,so2,21.42851591,1.740581102,0.023232838,0.865266034,0
272,2013,MRO,13434,nox,-1.827651705,0.82207351,0.012111855,0.840534428,0
273,2013,MRO,13434,co2,8030.46724,873.6755627,2.916940314,0.990351595,0
274,2013,MRO,14872,so2,31.60104771,1.650729007,0.02246861,0.8606412,0
275,2013,MRO,14872,nox,-14.38844625,0.890684746,0.012755107,0.848004778,0
276,2013,MRO,14872,co2,5930.319209,860.9569495,3.318735832,0.987179934,0
277,2013,MRO,15994,so2,10.70545431,1.65277495,0.023416002,0.850750853,0
278,2013,MRO,15994,nox,11.92498658,0.927346071,0.013032578,0.852791967,0
279,2013,MRO,15994,co2,2057.853817,853.0236177,3.40551403,0.986261268,0
280,2013,MRO,16997,so2,10.62956261,1.619872705,0.0238301,0.840938328,0
281,2013,MRO,16997,nox,1.236881559,0.937167372,0.013400055,0.848402453,0
282,2013,MRO,16997,co2,2690.417004,848.18498,3.592783238,0.984560448,0
283,2013,MRO,17934,so2,-3.53775591,1.574550377,0.021999213,0.85425315,0
284,2013,MRO,17934,nox,2.088721825,0.946477073,0.013081602,0.856927222,0
285,2013,MRO,17934,co2,2092.369523,837.8498148,3.637844966,0.983790483,0
286,2013,MRO,18867,so2,21.41863725,1.498056825,0.026033515,0.791170991,0
287,2013,MRO,18867,nox,3.485325848,0.876891991,0.013082627,0.837142254,0
288,2013,MRO,18867,co2,139.9233182,809.4572848,4.069592716,0.978385974,0
289,2013,MRO,19815,so2,15.29286177,1.425089899,0.027536493,0.753965662,0
290,2013,MRO,19815,nox,3.000306735,0.875719848,0.013764451,0.822420531,0
291,2013,MRO,19815,co2,6311.736393,791.9972125,4.602113117,0.971335269,0
292,2013,MRO,21036,so2,-0.504722862,1.352693365,0.027198407,0.738909581,0
293,2013,MRO,21036,nox,9.4700998,0.795283184,0.014081847,0.784915157,0
294,2013,MRO,21036,co2,3822.61175,756.2708339,4.688356461,0.967502491,0
295,2013,MRO,22708,so2,44.47758054,0.997515378,0.028507478,0.583491216,0
296,2013,MRO,22708,nox,25.21108054,0.660882364,0.014206792,0.712310261,0
297,2013,MRO,22708,co2,9211.463548,676.4275022,5.059515309,0.953381994,0
298,2013,MRO,32215,so2,34.61820079,0.634098127,0.026176924,0.401689734,0
299,2013,MRO,32215,nox,8.068678845,0.573599829,0.013823347,0.66330685,0
300,2013,MRO,32215,co2,6225.502884,627.4332918,4.014447906,0.965456935,0
301,2013,NPCC,7828,so2,-7.886603856,0.037007886,0.006410448,0.036732237,0
302,2013,NPCC,7828,nox,33.41198089,0.115902213,0.005911405,0.305476336,0
303,2013,NPCC,7828,co2,20113.00798,442.3500207,2.77902928,0.966654528,0
304,2013,NPCC,9382,so2,-25.48952341,0.065457327,0.009548627,0.051024444,0
305,2013,NPCC,9382,nox,14.80905008,0.114503924,0.006355867,0.270789884,0
306,2013,NPCC,9382,co2,9236.010086,445.5471163,2.281604829,0.97759404,0
307,2013,NPCC,10702,so2,-29.25425591,0.096621532,0.011157858,0.079017973,0
308,2013,NPCC,10702,nox,-12.4622095,0.108463407,0.006956915,0.217596705,0
309,2013,NPCC,10702,co2,-2445.588614,443.3202714,2.064947874,0.981390433,0
310,2013,NPCC,11858,so2,-27.80266469,0.134618116,0.011934512,0.127075778,0
311,2013,NPCC,11858,nox,-31.4409513,0.104026713,0.00660618,0.221008977,0
312,2013,NPCC,11858,co2,-9495.232219,447.6706057,2.256664489,0.97827356,0
313,2013,NPCC,12965,so2,-4.626116062,0.207290955,0.012279342,0.245886981,0
314,2013,NPCC,12965,nox,-20.50822997,0.130439263,0.007017576,0.283310202,0
